"Extension Module","Description"
"core.base.option","Get the value of the xmake command parameter option"
"core.base.global","Get the configuration information of xmake global"
"core.base.task","Task operations module"
"core.base.json","JSON module"
"core.base.semver","Semantic versioning module"
"core.tool.linker","Linker related operation module"
"core.tool.compiler","Compiler related operations module"
"core.project.config","Get the configuration information when the project is compiled"
"core.project.project","Get some description information of the current project"
"core.language.language","Obtain information about the compiled language"
"lib.detect","Probing module"
"net.http","HTTP module"
"privilege.sudo","Run commands with sudo"
"devel.git","Run git commands"
"utils.archive","Compress and decompress files"
"utils.platform","Module for platform-related auxiliary operation interfaces"
"cli","Merge all C/C++ and header sources inside a given target into a single source file"
